t: 425078800 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.05 7.58
t: 425145360 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.08 7.55
t: 425211920 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.13 7.51
t: 425278480 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.17 7.46
t: 425345040 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.17 7.48
t: 425463484 ESC: 7 Hall Sensors: 769 769 		 Accel: -0.16 0.00
t: 425521924 ESC: 6 Hall Sensors: 18350 0 		 Accel: 0.00 0.00
t: 425551776 ESC: 6 Hall Sensors: -10486 15729 		 Accel: 0.00 0.00
t: 425674380 ESC: 6 Hall Sensors: 0 -10486 		 Accel: 0.00 7.61
t: 425751796 ESC: 6 Hall Sensors: 769 769 		 Accel: 7.69 0.00
t: 425777304 ESC: 6 Hall Sensors: 769 0 		 Accel: 0.13 7.71
t: 425836968 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.13 7.71
t: 425902488 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.14 7.71
t: 425968004 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.13 7.69
t: 426033528 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.08 7.67
t: 426099048 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.02 7.62
t: 426164568 ESC: 6 Hall Sensors: 769 768 		 Accel: -0.03 7.59
t: 426283060 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.07 0.00
t: 426308552 ESC: 6 Hall Sensors: 23593 -23593 		 Accel: 0.00 0.00
t: 426428468 ESC: 7 Hall Sensors: 23593 20972 		 Accel: 0.00 7.47
t: 426506292 ESC: 7 Hall Sensors: 769 769 		 Accel: 7.51 0.00
t: 426531800 ESC: 7 Hall Sensors: 768 0 		 Accel: -0.11 7.52
t: 426644408 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.10 0.00
t: 426669904 ESC: 6 Hall Sensors: -10486 15729 		 Accel: 0.00 0.00
t: 426737892 ESC: 6 Hall Sensors: 0 13107 		 Accel: 0.00 0.03
t: 426803420 ESC: 6 Hall Sensors: -31457 769 		 Accel: 0.00 0.08
t: 426872048 ESC: 6 Hall Sensors: 7864 769 		 Accel: 0.00 0.11
t: 426938612 ESC: 6 Hall Sensors: 5243 769 		 Accel: 0.00 0.14
t: 427005168 ESC: 6 Hall Sensors: 5243 769 		 Accel: 0.00 0.14
t: 427071732 ESC: 6 Hall Sensors: -18350 769 		 Accel: 0.00 0.14
t: 427140372 ESC: 6 Hall Sensors: 5243 769 		 Accel: 0.00 0.09
t: 427258840 ESC: 6 Hall Sensors: 7864 770 		 Accel: 0.00 0.00
t: 427336244 ESC: 6 Hall Sensors: 769 0 		 Accel: 7.57 0.00
t: 427361656 ESC: 6 Hall Sensors: 769 0 		 Accel: -0.11 7.54
t: 427472288 ESC: 6 Hall Sensors: 769 769 		 Accel: -0.12 0.00
t: 427497804 ESC: 6 Hall Sensors: -10486 20972 		 Accel: 0.00 0.00
t: 427565784 ESC: 6 Hall Sensors: -10486 0 		 Accel: 0.00 -0.14
t: 427633380 ESC: 6 Hall Sensors: 23593 769 		 Accel: 0.00 -0.12
t: 427702020 ESC: 6 Hall Sensors: 20972 769 		 Accel: 0.00 -0.08
t: 427770664 ESC: 6 Hall Sensors: 18350 769 		 Accel: 0.00 -0.04
t: 427891188 ESC: 6 Hall Sensors: -5243 770 		 Accel: 0.00 0.00
t: 427968636 ESC: 6 Hall Sensors: 769 0 		 Accel: 7.66 0.00
t: 427994048 ESC: 6 Hall Sensors: 769 0 		 Accel: 0.13 7.68
t: 428051728 ESC: 6 Hall Sensors: 769 768 		 Accel: 0.13 7.72
t: 428117248 ESC: 6 Hall Sensors: 769 768 		 Accel: 0.13 7.71
t: 428182764 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.12 7.71
t: 428248292 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.10 7.66
t: 428365696 ESC: 6 Hall Sensors: 769 769 		 Accel: 0.07 0.00
t: 428391192 ESC: 6 Hall Sensors: -10486 -7864 		 Accel: 0.00 0.00
t: 428458152 ESC: 6 Hall Sensors: 23593 -5243 		 Accel: 0.00 -0.11
t: 428528864 ESC: 6 Hall Sensors: -23593 769 		 Accel: 0.00 -0.14
