t: 1496697140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.20 8.14
t: 1496764752 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.15
t: 1496832340 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1496899940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1496967540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.13
t: 1497035140 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.23 8.13
t: 1497102744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.11
t: 1497170340 ESC: 0 Hall Sensors: 647 569 		 Accel: -0.23 8.14
t: 1497237940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1497305544 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.26 8.15
t: 1497373140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.14
t: 1497440744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.12
t: 1497508340 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.25 8.13
t: 1497575940 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.12
t: 1497643540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1497711140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1497778740 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1497846340 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1497913940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1497981540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.13
t: 1498049140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.16
t: 1498116744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1498184340 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.15
t: 1498251940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.25 8.14
t: 1498319544 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.14
t: 1498387140 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.26 8.13
t: 1498454740 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.12
t: 1498522340 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.23 8.13
t: 1498589940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.11
t: 1498657540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1498725144 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.12
t: 1498792740 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1498860344 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1498927944 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1498995544 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.25 8.14
t: 1499063144 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.15
t: 1499130744 ESC: 0 Hall Sensors: 649 570 		 Accel: -0.22 8.15
t: 1499198344 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.15
t: 1499265944 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.15
t: 1499333544 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.23 8.13
t: 1499401144 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.15
t: 1499468744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.11
t: 1499536344 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.12
t: 1499603944 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1499671544 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.25 8.13
t: 1499739152 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.15
t: 1499806752 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1499874352 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.12
t: 1499941952 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.14
t: 1500009552 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1500077152 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.15
t: 1500144748 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.15
t: 1500212352 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.14
t: 1500279952 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.12
t: 1500347552 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.15
t: 1500415152 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.14
t: 1500482752 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.15
t: 1500550352 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.25 8.14
t: 1500617948 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.13
t: 1500685544 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.14
t: 1500753148 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.26 8.14
t: 1500820756 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1500888344 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.13
t: 1500955940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.13
t: 1501023544 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.14
t: 1501091148 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.14
t: 1501158740 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.12
t: 1501226340 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.14
t: 1501293940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1501361540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.14
t: 1501429140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1501496740 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.13
t: 1501564340 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1501631940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.17
t: 1501699544 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1501767140 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.13
t: 1501834740 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.15
t: 1501902340 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.13
t: 1501969940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1502037540 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.25 8.14
t: 1502105140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.26 8.14
t: 1502172740 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.12
t: 1502240344 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.23 8.14
t: 1502307940 ESC: 0 Hall Sensors: 649 570 		 Accel: -0.23 8.13
t: 1502375540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.15
t: 1502443140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.15
t: 1502510744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.19 8.15
t: 1502578344 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.22 8.14
t: 1502645940 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.15
t: 1502713540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.21 8.14
t: 1502781140 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.24 8.14
t: 1502848744 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.23 8.14
t: 1502916340 ESC: 0 Hall Sensors: 648 569 		 Accel: -0.22 8.14
t: 1502983940 ESC: 0 Hall Sensors: 647 569 		 Accel: -0.24 8.13
t: 1503051540 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.13
t: 1503119140 ESC: 0 Hall Sensors: 649 569 		 Accel: -0.24 8.14
