hr:min:s.ms g
17:01:43.373 822.73
17:01:43.440 822.68
17:01:43.523 822.72
17:01:43.609 822.85
17:01:43.707 822.92
17:01:43.789 822.89
17:01:43.891 822.80
17:01:43.974 822.77
17:01:44.068 822.73
17:01:44.140 822.66
17:01:44.223 822.65
17:01:44.339 822.66
17:01:44.424 822.68
17:01:44.508 822.68
17:01:44.605 822.72
17:01:44.691 822.81
17:01:44.739 822.86
17:01:44.834 822.84
17:01:44.929 822.81
17:01:45.026 822.83
17:01:45.104 822.84
17:01:45.205 822.81
17:01:45.289 822.77
17:01:45.371 822.72
17:01:45.454 822.67
17:01:45.538 822.65
17:01:45.631 822.72
17:01:45.718 822.82
17:01:45.804 822.88
17:01:45.904 822.89
17:01:45.987 822.89
17:01:46.070 822.91
17:01:46.154 822.90
17:01:46.239 822.91
17:01:46.316 822.93
17:01:46.421 822.92
17:01:46.504 822.86
17:01:46.604 822.75
17:01:46.686 822.71
17:01:46.753 822.74
17:01:46.870 822.85
17:01:46.953 822.92
17:01:47.036 822.89
17:01:47.119 822.81
17:01:47.203 822.75
17:01:47.286 822.77
17:01:47.369 822.84
17:01:47.452 822.88
17:01:47.536 822.85
17:01:47.619 822.74
17:01:47.736 822.63
17:01:47.819 822.57
17:01:47.902 822.59
17:01:47.985 822.69
17:01:48.068 822.81
17:01:48.152 822.86
