min:s.ms g
6:23.491 717.23
6:23.575 716.27
6:23.660 713.72
6:23.743 716.25
6:23.825 717.11
6:23.943 714.47
6:24.011 714.75
6:24.092 717.31
6:24.175 715.93
6:24.276 713.85
6:24.359 716.75
6:24.459 717.09
6:24.525 714.23
6:24.641 715.28
6:24.724 717.40
6:24.792 715.65
6:24.874 713.99
6:24.992 717.05
6:25.040 716.93
6:25.157 714.06
6:25.239 715.73
6:25.340 717.40
6:25.391 715.21
6:25.490 714.25
6:25.606 717.21
6:25.690 716.59
6:25.758 713.87
6:25.840 716.11
6:25.940 717.34
6:26.023 714.88
6:26.106 714.63
6:26.189 717.41
6:26.306 716.37
6:26.373 713.88
6:26.455 716.60
6:26.539 717.30
6:26.639 714.57
6:26.722 715.05
6:26.805 717.52
6:26.888 716.04
6:26.990 714.01
6:27.088 716.95
6:27.156 717.16
6:27.238 714.27
6:27.322 715.49
6:27.404 717.48
6:27.506 715.55
6:27.587 714.08
6:27.689 717.11
6:27.756 716.73
6:27.838 713.84
6:27.922 715.75
6:28.038 717.30
6:28.104 714.99
6:28.222 714.18
6:28.270 717.15
6:28.355 716.37
6:28.486 713.72
6:28.570 716.09
6:28.653 717.16
6:28.737 714.58
6:28.804 714.53
6:28.886 717.27
6:29.003 716.03
6:29.070 713.81
6:29.170 716.63
6:29.219 717.20
6:29.336 714.46
6:29.419 715.25
6:29.519 717.62
6:29.587 715.96
6:29.670 714.13
6:29.769 717.13
6:29.835 717.13
6:29.968 714.23
6:30.018 715.68
6:30.151 717.47
6:30.185 715.37
6:30.318 714.16
6:30.401 717.24
6:30.468 716.80
6:30.552 713.92
6:30.636 716.03
6:30.718 717.38
6:30.801 714.97
6:30.884 714.48
6:31.001 717.31
6:31.068 716.37
6:31.150 713.77
6:31.266 716.32
6:31.334 717.22
6:31.401 714.56
6:31.500 714.87
6:31.617 717.44
6:31.684 716.09
6:31.750 713.95
6:31.851 716.87
6:31.965 717.23
6:32.049 714.38
6:32.116 715.47
6:32.216 717.58
6:32.299 715.80
6:32.367 714.08
6:32.466 717.13
6:32.549 716.98
6:32.632 714.10
6:32.749 715.85
6:32.816 717.53
6:32.898 715.32
6:32.982 714.26
6:33.049 717.25
6:33.165 716.59
6:33.249 713.87
6:33.332 716.16
6:33.415 717.29
6:33.515 714.76
6:33.609 714.46
6:33.692 717.29
6:33.789 716.24
6:33.864 713.78
6:33.948 716.53
6:34.030 717.23
6:34.131 714.48
6:34.208 715.01
6:34.281 717.45
6:34.364 715.95
6:34.480 713.95
6:34.547 717.00
6:34.647 717.15
6:34.763 714.29
